Year,Month,Day,Date,Q (m3/s)
1956,4,1,4/1/1956,6510
1956,4,2,4/2/1956,6510
1956,4,3,4/3/1956,6680
1956,4,4,4/4/1956,6790
1956,4,5,4/5/1956,6790
1956,4,6,4/6/1956,6790
1956,4,7,4/7/1956,7080
1956,4,8,4/8/1956,7080
1956,4,9,4/9/1956,7080
1956,4,10,4/10/1956,7360
1956,4,11,4/11/1956,7360
1956,4,12,4/12/1956,7360
1956,4,13,4/13/1956,7640
1956,4,14,4/14/1956,7640
1956,4,15,4/15/1956,7840
1956,4,16,4/16/1956,7920
1956,4,17,4/17/1956,7920
1956,4,18,4/18/1956,8210
1956,4,19,4/19/1956,8210
1956,4,20,4/20/1956,8490
1956,4,21,4/21/1956,8490
1956,4,22,4/22/1956,8770
1956,4,23,4/23/1956,8770
1956,4,24,4/24/1956,9060
1956,4,25,4/25/1956,9060
1956,4,26,4/26/1956,9340
1956,4,27,4/27/1956,9340
1956,4,28,4/28/1956,9620
1956,4,29,4/29/1956,9900
1956,4,30,4/30/1956,10200
1956,5,1,5/1/1956,11000
1956,5,2,5/2/1956,11900
1956,5,3,5/3/1956,12800
1956,5,4,5/4/1956,12700
1956,5,5,5/5/1956,12700
1956,5,6,5/6/1956,12700
1956,5,7,5/7/1956,12700
1956,5,8,5/8/1956,12700
1956,5,9,5/9/1956,12700
1956,5,10,5/10/1956,12800
1956,5,11,5/11/1956,15300
1956,5,12,5/12/1956,17500
1956,5,13,5/13/1956,20100
1956,5,14,5/14/1956,22700
1956,5,15,5/15/1956,24800
1956,5,16,5/16/1956,24200
1956,5,17,5/17/1956,23500
1956,5,18,5/18/1956,24500
1956,5,19,5/19/1956,27300
1956,5,20,5/20/1956,33200
1956,5,21,5/21/1956,38800
1956,5,22,5/22/1956,42700
1956,5,23,5/23/1956,43600
1956,5,24,5/24/1956,43100
1956,5,25,5/25/1956,40000
1956,5,26,5/26/1956,35100
1956,5,27,5/27/1956,31700
1956,5,28,5/28/1956,29500
1956,5,29,5/29/1956,28200
1956,5,30,5/30/1956,27700
1956,5,31,5/31/1956,26700
1956,6,1,6/1/1956,25600
1956,6,2,6/2/1956,24900
1956,6,3,6/3/1956,23100
1956,6,4,6/4/1956,21400
1956,6,5,6/5/1956,20400
1956,6,6,6/6/1956,20000
1956,6,7,6/7/1956,20700
1956,6,8,6/8/1956,22600
1956,6,9,6/9/1956,24800
1956,6,10,6/10/1956,25500
1956,6,11,6/11/1956,25900
1956,6,12,6/12/1956,26100
1956,6,13,6/13/1956,25900
1956,6,14,6/14/1956,27900
1956,6,15,6/15/1956,31000
1956,6,16,6/16/1956,36100
1956,6,17,6/17/1956,42800
1956,6,18,6/18/1956,46600
1956,6,19,6/19/1956,50300
1956,6,20,6/20/1956,52600
1956,6,21,6/21/1956,53300
1956,6,22,6/22/1956,55800
1956,6,23,6/23/1956,59300
1956,6,24,6/24/1956,60400
1956,6,25,6/25/1956,58800
1956,6,26,6/26/1956,57100
1956,6,27,6/27/1956,55700
1956,6,28,6/28/1956,55000
1956,6,29,6/29/1956,53900
1956,6,30,6/30/1956,53400
1956,7,1,7/1/1956,52600
1956,7,2,7/2/1956,52600
1956,7,3,7/3/1956,51100
1956,7,4,7/4/1956,49700
1956,7,5,7/5/1956,48000
1956,7,6,7/6/1956,45900
1956,7,7,7/7/1956,43200
1956,7,8,7/8/1956,40700
1956,7,9,7/9/1956,38300
1956,7,10,7/10/1956,36500
1956,7,11,7/11/1956,35100
1956,7,12,7/12/1956,34900
1956,7,13,7/13/1956,34800
1956,7,14,7/14/1956,35000
1956,7,15,7/15/1956,35100
1956,7,16,7/16/1956,35900
1956,7,17,7/17/1956,35500
1956,7,18,7/18/1956,33700
1956,7,19,7/19/1956,31500
1956,7,20,7/20/1956,29900
1956,7,21,7/21/1956,29300
1956,7,22,7/22/1956,30100
1956,7,23,7/23/1956,32800
1956,7,24,7/24/1956,35900
1956,7,25,7/25/1956,36800
1956,7,26,7/26/1956,40900
1956,7,27,7/27/1956,44000
1956,7,28,7/28/1956,43300
1956,7,29,7/29/1956,39700
1956,7,30,7/30/1956,36200
1956,7,31,7/31/1956,33900
1956,8,1,8/1/1956,33200
1956,8,2,8/2/1956,31800
1956,8,3,8/3/1956,30200
1956,8,4,8/4/1956,28600
1956,8,5,8/5/1956,27000
1956,8,6,8/6/1956,25400
1956,8,7,8/7/1956,24300
1956,8,8,8/8/1956,24900
1956,8,9,8/9/1956,22200
1956,8,10,8/10/1956,21500
1956,8,11,8/11/1956,21200
1956,8,12,8/12/1956,21400
1956,8,13,8/13/1956,22100
1956,8,14,8/14/1956,23900
1956,8,15,8/15/1956,25000
1956,8,16,8/16/1956,25800
1956,8,17,8/17/1956,27300
1956,8,18,8/18/1956,32200
1956,8,19,8/19/1956,32600
1956,8,20,8/20/1956,33200
1956,8,21,8/21/1956,32600
1956,8,22,8/22/1956,31600
1956,8,23,8/23/1956,30800
1956,8,24,8/24/1956,31100
1956,8,25,8/25/1956,33200
1956,8,26,8/26/1956,37900
1956,8,27,8/27/1956,42200
1956,8,28,8/28/1956,44400
1956,8,29,8/29/1956,45200
1956,8,30,8/30/1956,45000
1956,8,31,8/31/1956,45400
1956,9,1,9/1/1956,46200
1956,9,2,9/2/1956,45500
1956,9,3,9/3/1956,43300
1956,9,4,9/4/1956,40700
1956,9,5,9/5/1956,37800
1956,9,6,9/6/1956,35000
1956,9,7,9/7/1956,33100
1956,9,8,9/8/1956,32600
1956,9,9,9/9/1956,32900
1956,9,10,9/10/1956,34100
1956,9,11,9/11/1956,35300
1956,9,12,9/12/1956,36900
1956,9,13,9/13/1956,38900
1956,9,14,9/14/1956,40600
1956,9,15,9/15/1956,43100
1956,9,16,9/16/1956,45700
1956,9,17,9/17/1956,48300
1956,9,18,9/18/1956,49000
1956,9,19,9/19/1956,48700
1956,9,20,9/20/1956,46700
1956,9,21,9/21/1956,43900
1956,9,22,9/22/1956,41000
1956,9,23,9/23/1956,38200
1956,9,24,9/24/1956,35000
1956,9,25,9/25/1956,32400
1956,9,26,9/26/1956,29900
1956,9,27,9/27/1956,27700
1956,9,28,9/28/1956,25800
1956,9,29,9/29/1956,24400
1956,9,30,9/30/1956,22900
1956,10,1,10/1/1956,21700
1956,10,2,10/2/1956,20700
1956,10,3,10/3/1956,20100
1956,10,4,10/4/1956,16800
1956,10,5,10/5/1956,16400
1956,10,6,10/6/1956,16200
1956,10,7,10/7/1956,16700
1956,10,8,10/8/1956,16900
1956,10,9,10/9/1956,17200
1956,10,10,10/10/1956,18300
1956,10,11,10/11/1956,18500
1956,10,12,10/12/1956,22200
1956,10,13,10/13/1956,22700
1956,10,14,10/14/1956,22600
1956,10,15,10/15/1956,22800
1956,10,16,10/16/1956,24000
1956,10,17,10/17/1956,23700
1956,10,18,10/18/1956,22400
1956,10,19,10/19/1956,22300
1956,10,20,10/20/1956,24000
1956,10,21,10/21/1956,25000
1956,10,22,10/22/1956,24400
1956,10,23,10/23/1956,23400
1956,10,24,10/24/1956,22300
1956,10,25,10/25/1956,20900
1956,10,26,10/26/1956,19100
1956,10,27,10/27/1956,18000
1956,10,28,10/28/1956,16900
1956,10,29,10/29/1956,15900
1956,10,30,10/30/1956,15300
1956,10,31,10/31/1956,14800
1956,11,1,11/1/1956,14200
1956,11,2,11/2/1956,13800
1956,11,3,11/3/1956,13600
1956,11,4,11/4/1956,13400
1956,11,5,11/5/1956,13000
1956,11,6,11/6/1956,12700
1956,11,7,11/7/1956,12700
1956,11,8,11/8/1956,13000
1956,11,9,11/9/1956,13500
1956,11,10,11/10/1956,13600
1956,11,11,11/11/1956,13000
1956,11,12,11/12/1956,12500
1956,11,13,11/13/1956,12200
1956,11,14,11/14/1956,12000
1956,11,15,11/15/1956,11500
1956,11,16,11/16/1956,11300
1956,11,17,11/17/1956,10900
1956,11,18,11/18/1956,10600
1956,11,19,11/19/1956,10400
1956,11,20,11/20/1956,10200
1956,11,21,11/21/1956,9930
1956,11,22,11/22/1956,9790
1956,11,23,11/23/1956,9540
1956,11,24,11/24/1956,9370
1956,11,25,11/25/1956,9370
1956,11,26,11/26/1956,9140
