Year,Month,Day,Date,Q (m3/s)
1934,4,1,4/1/1934,2200
1934,4,2,4/2/1934,2200
1934,4,3,4/3/1934,2190
1934,4,4,4/4/1934,2190
1934,4,5,4/5/1934,2190
1934,4,6,4/6/1934,2200
1934,4,7,4/7/1934,2200
1934,4,8,4/8/1934,2190
1934,4,9,4/9/1934,2180
1934,4,10,4/10/1934,2180
1934,4,11,4/11/1934,2160
1934,4,12,4/12/1934,2140
1934,4,13,4/13/1934,2130
1934,4,14,4/14/1934,2130
1934,4,15,4/15/1934,2140
1934,4,16,4/16/1934,2140
1934,4,17,4/17/1934,2140
1934,4,18,4/18/1934,2140
1934,4,19,4/19/1934,2130
1934,4,20,4/20/1934,2110
1934,4,21,4/21/1934,2110
1934,4,22,4/22/1934,2090
1934,4,23,4/23/1934,2080
1934,4,24,4/24/1934,2080
1934,4,25,4/25/1934,2100
1934,4,26,4/26/1934,2100
1934,4,27,4/27/1934,2100
1934,4,28,4/28/1934,2080
1934,4,29,4/29/1934,2070
1934,4,30,4/30/1934,2050
1934,5,1,5/1/1934,2050
1934,5,2,5/2/1934,2030
1934,5,3,5/3/1934,2010
1934,5,4,5/4/1934,1990
1934,5,5,5/5/1934,1980
1934,5,6,5/6/1934,1960
1934,5,7,5/7/1934,1980
1934,5,8,5/8/1934,1950
1934,5,9,5/9/1934,1950
1934,5,10,5/10/1934,1950
1934,5,11,5/11/1934,1950
1934,5,12,5/12/1934,1950
1934,5,13,5/13/1934,1950
1934,5,14,5/14/1934,1950
1934,5,15,5/15/1934,1960
1934,5,16,5/16/1934,1970
1934,5,17,5/17/1934,1980
1934,5,18,5/18/1934,2000
1934,5,19,5/19/1934,2000
1934,5,20,5/20/1934,1980
1934,5,21,5/21/1934,1950
1934,5,22,5/22/1934,1950
1934,5,23,5/23/1934,1950
1934,5,24,5/24/1934,1980
1934,5,25,5/25/1934,1990
1934,5,26,5/26/1934,1990
1934,5,27,5/27/1934,2000
1934,5,28,5/28/1934,2010
1934,5,29,5/29/1934,2050
1934,5,30,5/30/1934,2080
1934,5,31,5/31/1934,2110
1934,6,1,6/1/1934,2190
1934,6,2,6/2/1934,2230
1934,6,3,6/3/1934,2260
1934,6,4,6/4/1934,2280
1934,6,5,6/5/1934,2310
1934,6,6,6/6/1934,2330
1934,6,7,6/7/1934,2360
1934,6,8,6/8/1934,2390
1934,6,9,6/9/1934,2430
1934,6,10,6/10/1934,2460
1934,6,11,6/11/1934,2470
1934,6,12,6/12/1934,2480
1934,6,13,6/13/1934,2490
1934,6,14,6/14/1934,2590
1934,6,15,6/15/1934,2640
1934,6,16,6/16/1934,2760
1934,6,17,6/17/1934,2830
1934,6,18,6/18/1934,2910
1934,6,19,6/19/1934,3060
1934,6,20,6/20/1934,3340
1934,6,21,6/21/1934,3740
1934,6,22,6/22/1934,4390
1934,6,23,6/23/1934,4950
1934,6,24,6/24/1934,5600
1934,6,25,6/25/1934,6110
1934,6,26,6/26/1934,6370
1934,6,27,6/27/1934,6570
1934,6,28,6/28/1934,6650
1934,6,29,6/29/1934,6850
1934,6,30,6/30/1934,7330
1934,7,1,7/1/1934,7840
1934,7,2,7/2/1934,8660
1934,7,3,7/3/1934,9230
1934,7,4,7/4/1934,9710
1934,7,5,7/5/1934,10100
1934,7,6,7/6/1934,11000
1934,7,7,7/7/1934,12300
1934,7,8,7/8/1934,13300
1934,7,9,7/9/1934,14100
1934,7,10,7/10/1934,14500
1934,7,11,7/11/1934,14900
1934,7,12,7/12/1934,15600
1934,7,13,7/13/1934,17300
1934,7,14,7/14/1934,20900
1934,7,15,7/15/1934,23300
1934,7,16,7/16/1934,25500
1934,7,17,7/17/1934,26700
1934,7,18,7/18/1934,27000
1934,7,19,7/19/1934,26400
1934,7,20,7/20/1934,25800
1934,7,21,7/21/1934,25200
1934,7,22,7/22/1934,24600
1934,7,23,7/23/1934,24300
1934,7,24,7/24/1934,24100
1934,7,25,7/25/1934,23500
1934,7,26,7/26/1934,23300
1934,7,27,7/27/1934,23800
1934,7,28,7/28/1934,25200
1934,7,29,7/29/1934,27000
1934,7,30,7/30/1934,28600
1934,7,31,7/31/1934,29300
1934,8,1,8/1/1934,30000
1934,8,2,8/2/1934,30700
1934,8,3,8/3/1934,31900
1934,8,4,8/4/1934,32300
1934,8,5,8/5/1934,33200
1934,8,6,8/6/1934,34000
1934,8,7,8/7/1934,34500
1934,8,8,8/8/1934,34900
1934,8,9,8/9/1934,34900
1934,8,10,8/10/1934,34900
1934,8,11,8/11/1934,34900
1934,8,12,8/12/1934,35400
1934,8,13,8/13/1934,35400
1934,8,14,8/14/1934,35400
1934,8,15,8/15/1934,35400
1934,8,16,8/16/1934,35400
1934,8,17,8/17/1934,36300
1934,8,18,8/18/1934,36800
1934,8,19,8/19/1934,36800
1934,8,20,8/20/1934,36800
1934,8,21,8/21/1934,36800
1934,8,22,8/22/1934,36800
1934,8,23,8/23/1934,36300
1934,8,24,8/24/1934,36300
1934,8,25,8/25/1934,36800
1934,8,26,8/26/1934,36900
1934,8,27,8/27/1934,39900
1934,8,28,8/28/1934,42200
1934,8,29,8/29/1934,43400
1934,8,30,8/30/1934,44000
1934,8,31,8/31/1934,45300
1934,9,1,9/1/1934,45300
1934,9,2,9/2/1934,46000
1934,9,3,9/3/1934,46600
1934,9,4,9/4/1934,46600
1934,9,5,9/5/1934,46000
1934,9,6,9/6/1934,46000
1934,9,7,9/7/1934,45300
1934,9,8,9/8/1934,44000
1934,9,9,9/9/1934,42800
1934,9,10,9/10/1934,41600
1934,9,11,9/11/1934,40500
1934,9,12,9/12/1934,38900
1934,9,13,9/13/1934,37800
1934,9,14,9/14/1934,37800
1934,9,15,9/15/1934,37800
1934,9,16,9/16/1934,38300
1934,9,17,9/17/1934,39400
1934,9,18,9/18/1934,40500
1934,9,19,9/19/1934,41000
1934,9,20,9/20/1934,41600
1934,9,21,9/21/1934,41600
1934,9,22,9/22/1934,41600
1934,9,23,9/23/1934,40500
1934,9,24,9/24/1934,38900
1934,9,25,9/25/1934,36300
1934,9,26,9/26/1934,33600
1934,9,27,9/27/1934,31900
1934,9,28,9/28/1934,31100
1934,9,29,9/29/1934,31900
1934,9,30,9/30/1934,33600
1934,10,1,10/1/1934,34900
1934,10,2,10/2/1934,35400
1934,10,3,10/3/1934,35400
1934,10,4,10/4/1934,33600
1934,10,5,10/5/1934,31900
1934,10,6,10/6/1934,29600
1934,10,7,10/7/1934,28200
1934,10,8,10/8/1934,27200
1934,10,9,10/9/1934,25200
1934,10,10,10/10/1934,23100
1934,10,11,10/11/1934,21600
1934,10,12,10/12/1934,19600
1934,10,13,10/13/1934,17800
1934,10,14,10/14/1934,16400
1934,10,15,10/15/1934,15200
1934,10,16,10/16/1934,14200
1934,10,17,10/17/1934,13600
1934,10,18,10/18/1934,13200
1934,10,19,10/19/1934,13000
1934,10,20,10/20/1934,12800
1934,10,21,10/21/1934,12500
1934,10,22,10/22/1934,12200
1934,10,23,10/23/1934,11600
1934,10,24,10/24/1934,11200
1934,10,25,10/25/1934,10800
1934,10,26,10/26/1934,10200
1934,10,27,10/27/1934,9850
1934,10,28,10/28/1934,9540
1934,10,29,10/29/1934,9340
1934,10,30,10/30/1934,9230
1934,10,31,10/31/1934,9000
1934,11,1,11/1/1934,8770
1934,11,2,11/2/1934,8550
1934,11,3,11/3/1934,8240
1934,11,4,11/4/1934,8040
1934,11,5,11/5/1934,7840
1934,11,6,11/6/1934,7640
1934,11,7,11/7/1934,7530
1934,11,8,11/8/1934,7330
1934,11,9,11/9/1934,7190
1934,11,10,11/10/1934,7020
1934,11,11,11/11/1934,6790
1934,11,12,11/12/1934,6590
1934,11,13,11/13/1934,6400
1934,11,14,11/14/1934,6250
1934,11,15,11/15/1934,6060
1934,11,16,11/16/1934,5940
1934,11,17,11/17/1934,5890
1934,11,18,11/18/1934,5690
1934,11,19,11/19/1934,5540
1934,11,20,11/20/1934,5430
1934,11,21,11/21/1934,5320
1934,11,22,11/22/1934,5340
1934,11,23,11/23/1934,5120
1934,11,24,11/24/1934,4950
1934,11,25,11/25/1934,4780
1934,11,26,11/26/1934,4610
1934,11,27,11/27/1934,4500
1934,11,28,11/28/1934,4390
1934,11,29,11/29/1934,4220
1934,11,30,11/30/1934,4100
1934,12,1,12/1/1934,3930
1934,12,2,12/2/1934,3880
1934,12,3,12/3/1934,3820
1934,12,4,12/4/1934,3740
1934,12,5,12/5/1934,3710
1934,12,6,12/6/1934,3620
1934,12,7,12/7/1934,3570
1934,12,8,12/8/1934,3590
1934,12,9,12/9/1934,3570
1934,12,10,12/10/1934,3540
1934,12,11,12/11/1934,3540
1934,12,12,12/12/1934,3540
1934,12,13,12/13/1934,3540
1934,12,14,12/14/1934,3540
1934,12,15,12/15/1934,3480
1934,12,16,12/16/1934,3510
1934,12,17,12/17/1934,3510
1934,12,18,12/18/1934,3450
1934,12,19,12/19/1934,3400
1934,12,20,12/20/1934,3370
1934,12,21,12/21/1934,3310
1934,12,22,12/22/1934,3280
1934,12,23,12/23/1934,3250
1934,12,24,12/24/1934,3200
1934,12,25,12/25/1934,3140
1934,12,26,12/26/1934,3140
1934,12,27,12/27/1934,3110
1934,12,28,12/28/1934,3060
1934,12,29,12/29/1934,3030
1934,12,30,12/30/1934,3030
1934,12,31,12/31/1934,3000
1935,1,1,1/1/1935,2970
1935,1,2,1/2/1935,2970
1935,1,3,1/3/1935,2940
1935,1,4,1/4/1935,2920
1935,1,5,1/5/1935,2910
1935,1,6,1/6/1935,2890
1935,1,7,1/7/1935,2890
1935,1,8,1/8/1935,2890
1935,1,9,1/9/1935,2860
1935,1,10,1/10/1935,2860
1935,1,11,1/11/1935,2830
1935,1,12,1/12/1935,2830
1935,1,13,1/13/1935,2820
1935,1,14,1/14/1935,2810
1935,1,15,1/15/1935,2800
1935,1,16,1/16/1935,2800
1935,1,17,1/17/1935,2780
1935,1,18,1/18/1935,2770
1935,1,19,1/19/1935,2760
1935,1,20,1/20/1935,2740
1935,1,21,1/21/1935,2710
1935,1,22,1/22/1935,2700
1935,1,23,1/23/1935,2680
1935,1,24,1/24/1935,2670
1935,1,25,1/25/1935,2650
1935,1,26,1/26/1935,2640
1935,1,27,1/27/1935,2630
1935,1,28,1/28/1935,2620
1935,1,29,1/29/1935,2610
1935,1,30,1/30/1935,2600
1935,1,31,1/31/1935,2580
1935,2,1,2/1/1935,2570
1935,2,2,2/2/1935,2560
1935,2,3,2/3/1935,2540
1935,2,4,2/4/1935,2530
1935,2,5,2/5/1935,2520
1935,2,6,2/6/1935,2500
1935,2,7,2/7/1935,2490
1935,2,8,2/8/1935,2480
1935,2,9,2/9/1935,2480
1935,2,10,2/10/1935,2470
1935,2,11,2/11/1935,2460
1935,2,12,2/12/1935,2450
1935,2,13,2/13/1935,2440
1935,2,14,2/14/1935,2430
1935,2,15,2/15/1935,2430
1935,2,16,2/16/1935,2430
1935,2,17,2/17/1935,2440
1935,2,18,2/18/1935,2450
1935,2,19,2/19/1935,2450
1935,2,20,2/20/1935,2440
1935,2,21,2/21/1935,2440
1935,2,22,2/22/1935,2430
1935,2,23,2/23/1935,2420
1935,2,24,2/24/1935,2420
1935,2,25,2/25/1935,2420
1935,2,26,2/26/1935,2420
1935,2,27,2/27/1935,2410
1935,2,28,2/28/1935,2390
1935,3,1,3/1/1935,2390
1935,3,2,3/2/1935,2380
1935,3,3,3/3/1935,2370
1935,3,4,3/4/1935,2370
1935,3,5,3/5/1935,2370
1935,3,6,3/6/1935,2360
1935,3,7,3/7/1935,2360
1935,3,8,3/8/1935,2340
1935,3,9,3/9/1935,2320
1935,3,10,3/10/1935,2300
1935,3,11,3/11/1935,2280
1935,3,12,3/12/1935,2260
1935,3,13,3/13/1935,2240
1935,3,14,3/14/1935,2230
1935,3,15,3/15/1935,2220
1935,3,16,3/16/1935,2200
1935,3,17,3/17/1935,2180
1935,3,18,3/18/1935,2160
1935,3,19,3/19/1935,2160
1935,3,20,3/20/1935,2150
1935,3,21,3/21/1935,2140
1935,3,22,3/22/1935,2130
1935,3,23,3/23/1935,2130
1935,3,24,3/24/1935,2120
1935,3,25,3/25/1935,2130
1935,3,26,3/26/1935,2130
1935,3,27,3/27/1935,2130
1935,3,28,3/28/1935,2140
1935,3,29,3/29/1935,2130
1935,3,30,3/30/1935,2130
1935,3,31,3/31/1935,2130
1935,4,1,4/1/1935,2130
1935,4,2,4/2/1935,2110
1935,4,3,4/3/1935,2100
1935,4,4,4/4/1935,2090
1935,4,5,4/5/1935,2090
1935,4,6,4/6/1935,2080
1935,4,7,4/7/1935,2070
1935,4,8,4/8/1935,2050
1935,4,9,4/9/1935,2040
1935,4,10,4/10/1935,2010
1935,4,11,4/11/1935,2000
1935,4,12,4/12/1935,1990
1935,4,13,4/13/1935,1950
1935,4,14,4/14/1935,1910
1935,4,15,4/15/1935,1870
1935,4,16,4/16/1935,1830
1935,4,17,4/17/1935,1790
1935,4,18,4/18/1935,1780
1935,4,19,4/19/1935,1770
1935,4,20,4/20/1935,1760
1935,4,21,4/21/1935,1750
1935,4,22,4/22/1935,1750
1935,4,23,4/23/1935,1730
1935,4,24,4/24/1935,1730
1935,4,25,4/25/1935,1740
1935,4,26,4/26/1935,1720
1935,4,27,4/27/1935,1710
1935,4,28,4/28/1935,1710
1935,4,29,4/29/1935,1710
1935,4,30,4/30/1935,1700
1935,5,1,5/1/1935,1680
1935,5,2,5/2/1935,1610
1935,5,3,5/3/1935,1600
1935,5,4,5/4/1935,1600
1935,5,5,5/5/1935,1600
1935,5,6,5/6/1935,1550
1935,5,7,5/7/1935,1550
1935,5,8,5/8/1935,1550
1935,5,9,5/9/1935,1550
1935,5,10,5/10/1935,1550
1935,5,11,5/11/1935,1560
1935,5,12,5/12/1935,1560
1935,5,13,5/13/1935,1580
1935,5,14,5/14/1935,1610
1935,5,15,5/15/1935,1640
1935,5,16,5/16/1935,1620
1935,5,17,5/17/1935,1620
1935,5,18,5/18/1935,1670
1935,5,19,5/19/1935,1680
1935,5,20,5/20/1935,1680
1935,5,21,5/21/1935,1690
1935,5,22,5/22/1935,1700
1935,5,23,5/23/1935,1700
1935,5,24,5/24/1935,1700
1935,5,25,5/25/1935,1700
1935,5,26,5/26/1935,1710
1935,5,27,5/27/1935,1720
1935,5,28,5/28/1935,1750
1935,5,29,5/29/1935,1790
1935,5,30,5/30/1935,1840
1935,5,31,5/31/1935,1900
1935,6,1,6/1/1935,1980
1935,6,2,6/2/1935,2030
1935,6,3,6/3/1935,2090
1935,6,4,6/4/1935,2170
1935,6,5,6/5/1935,2260
1935,6,6,6/6/1935,2380
1935,6,7,6/7/1935,2540
1935,6,8,6/8/1935,2610
1935,6,9,6/9/1935,2740
1935,6,10,6/10/1935,2860
1935,6,11,6/11/1935,2910
1935,6,12,6/12/1935,2940
1935,6,13,6/13/1935,3030
1935,6,14,6/14/1935,3060
1935,6,15,6/15/1935,3140
1935,6,16,6/16/1935,3230
1935,6,17,6/17/1935,3310
1935,6,18,6/18/1935,3230
1935,6,19,6/19/1935,3170
1935,6,20,6/20/1935,3110
1935,6,21,6/21/1935,3080
1935,6,22,6/22/1935,3140
1935,6,23,6/23/1935,3170
1935,6,24,6/24/1935,3170
1935,6,25,6/25/1935,3170
1935,6,26,6/26/1935,3230
1935,6,27,6/27/1935,3250
1935,6,28,6/28/1935,3340
1935,6,29,6/29/1935,3450
1935,6,30,6/30/1935,3540
1935,7,1,7/1/1935,3620
1935,7,2,7/2/1935,3760
1935,7,3,7/3/1935,4100
1935,7,4,7/4/1935,4390
1935,7,5,7/5/1935,4750
1935,7,6,7/6/1935,5380
1935,7,7,7/7/1935,6110
1935,7,8,7/8/1935,7020
1935,7,9,7/9/1935,7730
1935,7,10,7/10/1935,8550
1935,7,11,7/11/1935,8890
1935,7,12,7/12/1935,9230
1935,7,13,7/13/1935,9340
1935,7,14,7/14/1935,9590
1935,7,15,7/15/1935,11200
1935,7,16,7/16/1935,13000
1935,7,17,7/17/1935,13600
1935,7,18,7/18/1935,13600
1935,7,19,7/19/1935,13400
1935,7,20,7/20/1935,14100
1935,7,21,7/21/1935,15200
1935,7,22,7/22/1935,16200
1935,7,23,7/23/1935,17100
1935,7,24,7/24/1935,17800
1935,7,25,7/25/1935,18700
1935,7,26,7/26/1935,19600
1935,7,27,7/27/1935,22300
1935,7,28,7/28/1935,24600
1935,7,29,7/29/1935,27000
1935,7,30,7/30/1935,27600
1935,7,31,7/31/1935,28200
1935,8,1,8/1/1935,29300
1935,8,2,8/2/1935,29600
1935,8,3,8/3/1935,30400
1935,8,4,8/4/1935,31500
1935,8,5,8/5/1935,31900
1935,8,6,8/6/1935,32300
1935,8,7,8/7/1935,32700
1935,8,8,8/8/1935,33600
1935,8,9,8/9/1935,34000
1935,8,10,8/10/1935,35400
1935,8,11,8/11/1935,36800
1935,8,12,8/12/1935,37300
1935,8,13,8/13/1935,38900
1935,8,14,8/14/1935,40500
1935,8,15,8/15/1935,41600
1935,8,16,8/16/1935,42800
1935,8,17,8/17/1935,42800
1935,8,18,8/18/1935,42800
1935,8,19,8/19/1935,42800
1935,8,20,8/20/1935,44000
1935,8,21,8/21/1935,44000
1935,8,22,8/22/1935,43400
1935,8,23,8/23/1935,43400
1935,8,24,8/24/1935,42800
1935,8,25,8/25/1935,41900
1935,8,26,8/26/1935,41300
1935,8,27,8/27/1935,40500
1935,8,28,8/28/1935,40500
1935,8,29,8/29/1935,40500
1935,8,30,8/30/1935,39800
1935,8,31,8/31/1935,36300
1935,9,1,9/1/1935,33600
1935,9,2,9/2/1935,30700
1935,9,3,9/3/1935,28200
1935,9,4,9/4/1935,26400
1935,9,5,9/5/1935,24900
1935,9,6,9/6/1935,24100
1935,9,7,9/7/1935,23500
1935,9,8,9/8/1935,23300
1935,9,9,9/9/1935,23800
1935,9,10,9/10/1935,24600
1935,9,11,9/11/1935,26400
1935,9,12,9/12/1935,27600
1935,9,13,9/13/1935,27300
1935,9,14,9/14/1935,26700
1935,9,15,9/15/1935,25800
1935,9,16,9/16/1935,24300
1935,9,17,9/17/1935,23300
1935,9,18,9/18/1935,22600
1935,9,19,9/19/1935,21800
1935,9,20,9/20/1935,21800
1935,9,21,9/21/1935,22800
1935,9,22,9/22/1935,25500
1935,9,23,9/23/1935,28900
1935,9,24,9/24/1935,32300
1935,9,25,9/25/1935,34000
1935,9,26,9/26/1935,35400
1935,9,27,9/27/1935,35900
1935,9,28,9/28/1935,36300
1935,9,29,9/29/1935,35400
1935,9,30,9/30/1935,34000
1935,10,1,10/1/1935,31500
1935,10,2,10/2/1935,29900
1935,10,3,10/3/1935,26700
1935,10,4,10/4/1935,24600
1935,10,5,10/5/1935,22800
1935,10,6,10/6/1935,21100
1935,10,7,10/7/1935,19800
1935,10,8,10/8/1935,19000
1935,10,9,10/9/1935,17800
1935,10,10,10/10/1935,16800
1935,10,11,10/11/1935,15700
1935,10,12,10/12/1935,14700
1935,10,13,10/13/1935,13900
1935,10,14,10/14/1935,13100
1935,10,15,10/15/1935,12300
1935,10,16,10/16/1935,11600
1935,10,17,10/17/1935,10200
1935,10,18,10/18/1935,10400
1935,10,19,10/19/1935,9710
1935,10,20,10/20/1935,9230
1935,10,21,10/21/1935,8770
1935,10,22,10/22/1935,8460
1935,10,23,10/23/1935,8150
1935,10,24,10/24/1935,7840
1935,10,25,10/25/1935,7530
1935,10,26,10/26/1935,7240
1935,10,27,10/27/1935,6930
1935,10,28,10/28/1935,6650
1935,10,29,10/29/1935,6450
1935,10,30,10/30/1935,6200
1935,10,31,10/31/1935,6100
1935,11,1,11/1/1935,6030
1935,11,2,11/2/1935,5940
1935,11,3,11/3/1935,5860
1935,11,4,11/4/1935,5770
1935,11,5,11/5/1935,5600
1935,11,6,11/6/1935,5460
1935,11,7,11/7/1935,5320
1935,11,8,11/8/1935,5150
1935,11,9,11/9/1935,5040
1935,11,10,11/10/1935,4900
1935,11,11,11/11/1935,4750
1935,11,12,11/12/1935,4610
1935,11,13,11/13/1935,4560
1935,11,14,11/14/1935,4470
1935,11,15,11/15/1935,4410
1935,11,16,11/16/1935,4330
1935,11,17,11/17/1935,4240
1935,11,18,11/18/1935,4160
1935,11,19,11/19/1935,4160
1935,11,20,11/20/1935,4050
1935,11,21,11/21/1935,3990
1935,11,22,11/22/1935,3910
1935,11,23,11/23/1935,3850
1935,11,24,11/24/1935,3790
1935,11,25,11/25/1935,3740
1935,11,26,11/26/1935,3680
1935,11,27,11/27/1935,3620
1935,11,28,11/28/1935,3590
1935,11,29,11/29/1935,3540
1935,11,30,11/30/1935,3540
1935,12,1,12/1/1935,3540
1935,12,2,12/2/1935,3540
1935,12,3,12/3/1935,3540
1935,12,4,12/4/1935,3540
1935,12,5,12/5/1935,3540
1935,12,6,12/6/1935,3570
1935,12,7,12/7/1935,3590
1935,12,8,12/8/1935,3590
1935,12,9,12/9/1935,3590
1935,12,10,12/10/1935,3570
1935,12,11,12/11/1935,3540
1935,12,12,12/12/1935,3480
1935,12,13,12/13/1935,3450
1935,12,14,12/14/1935,3450
1935,12,15,12/15/1935,3400
1935,12,16,12/16/1935,3340
1935,12,17,12/17/1935,3310
1935,12,18,12/18/1935,3280
1935,12,19,12/19/1935,3250
1935,12,20,12/20/1935,3250
1935,12,21,12/21/1935,3230
1935,12,22,12/22/1935,3200
1935,12,23,12/23/1935,3170
1935,12,24,12/24/1935,3170
1935,12,25,12/25/1935,3170
1935,12,26,12/26/1935,3170
1935,12,27,12/27/1935,3140
1935,12,28,12/28/1935,3140
1935,12,29,12/29/1935,3140
1935,12,30,12/30/1935,3080
1935,12,31,12/31/1935,3060
1936,1,1,1/1/1936,2710
1936,1,2,1/2/1936,2690
1936,1,3,1/3/1936,2680
1936,1,4,1/4/1936,2660
1936,1,5,1/5/1936,2650
1936,1,6,1/6/1936,2640
1936,1,7,1/7/1936,2630
1936,1,8,1/8/1936,2520
1936,1,9,1/9/1936,2510
1936,1,10,1/10/1936,2500
1936,1,11,1/11/1936,2480
1936,1,12,1/12/1936,2470
1936,1,13,1/13/1936,2430
1936,1,14,1/14/1936,2420
1936,1,15,1/15/1936,2380
1936,1,16,1/16/1936,2370
1936,1,17,1/17/1936,2330
1936,1,18,1/18/1936,2320
1936,1,19,1/19/1936,2280
1936,1,20,1/20/1936,2270
1936,1,21,1/21/1936,2270
1936,1,22,1/22/1936,2260
1936,1,23,1/23/1936,2240
1936,1,24,1/24/1936,2230
1936,1,25,1/25/1936,2200
1936,1,26,1/26/1936,2190
1936,1,27,1/27/1936,2180
1936,1,28,1/28/1936,2170
1936,1,29,1/29/1936,2150
1936,1,30,1/30/1936,2120
1936,1,31,1/31/1936,2120
1936,2,1,2/1/1936,2100
1936,2,2,2/2/1936,2100
1936,2,3,2/3/1936,2090
1936,2,4,2/4/1936,2080
1936,2,5,2/5/1936,2070
1936,2,6,2/6/1936,2140
1936,2,7,2/7/1936,2130
1936,2,8,2/8/1936,2120
1936,2,9,2/9/1936,2100
1936,2,10,2/10/1936,2100
1936,2,11,2/11/1936,2090
1936,2,12,2/12/1936,2080
1936,2,13,2/13/1936,2070
1936,2,14,2/14/1936,2050
1936,2,15,2/15/1936,2050
1936,2,16,2/16/1936,2050
1936,2,17,2/17/1936,2040
1936,2,18,2/18/1936,2050
1936,2,19,2/19/1936,2030
1936,2,20,2/20/1936,2030
1936,2,21,2/21/1936,2030
1936,2,22,2/22/1936,2040
1936,2,23,2/23/1936,2050
1936,2,24,2/24/1936,2040
1936,2,25,2/25/1936,2040
1936,2,26,2/26/1936,2030
1936,2,27,2/27/1936,2010
1936,2,28,2/28/1936,1920
1936,2,29,2/29/1936,1920
1936,3,1,3/1/1936,1900
1936,3,2,3/2/1936,1890
1936,3,3,3/3/1936,1860
1936,3,4,3/4/1936,1840
1936,3,5,3/5/1936,1810
1936,3,6,3/6/1936,1790
1936,3,7,3/7/1936,1770
1936,3,8,3/8/1936,1760
1936,3,9,3/9/1936,1710
1936,3,10,3/10/1936,1680
1936,3,11,3/11/1936,1670
1936,3,12,3/12/1936,1660
1936,3,13,3/13/1936,1640
1936,3,14,3/14/1936,1620
1936,3,15,3/15/1936,1610
1936,3,16,3/16/1936,1590
1936,3,17,3/17/1936,1580
1936,3,18,3/18/1936,1570
1936,3,19,3/19/1936,1540
1936,3,20,3/20/1936,1530
1936,3,21,3/21/1936,1510
1936,3,22,3/22/1936,1510
1936,3,23,3/23/1936,1510
1936,3,24,3/24/1936,1510
1936,3,25,3/25/1936,1510
1936,3,26,3/26/1936,1490
1936,3,27,3/27/1936,1480
1936,3,28,3/28/1936,1470
