Year,Month,Day,Date,Q (m3/s)
1980,1,1,1/1/1980,92.3
1980,1,2,1/2/1980,91.4
1980,1,3,1/3/1980,90.6
1980,1,4,1/4/1980,89.1
1980,1,5,1/5/1980,88
1980,1,6,1/6/1980,86.6
1980,1,7,1/7/1980,85.5
1980,1,8,1/8/1980,83.8
1980,1,9,1/9/1980,81.5
1980,1,10,1/10/1980,79.8
1980,1,11,1/11/1980,79
1980,1,12,1/12/1980,78.1
1980,1,13,1/13/1980,77
1980,1,14,1/14/1980,76.1
1980,1,15,1/15/1980,75
1980,1,16,1/16/1980,73.6
1980,1,17,1/17/1980,71.9
1980,1,18,1/18/1980,70.2
1980,1,19,1/19/1980,69.1
1980,1,20,1/20/1980,68.2
1980,1,21,1/21/1980,67.4
1980,1,22,1/22/1980,66.5
1980,1,23,1/23/1980,65.7
1980,1,24,1/24/1980,64.5
1980,1,25,1/25/1980,63.7
1980,1,26,1/26/1980,63.7
1980,1,27,1/27/1980,62.8
1980,1,28,1/28/1980,62.8
1980,1,29,1/29/1980,62.8
1980,1,30,1/30/1980,62.8
1980,1,31,1/31/1980,62.8
1980,2,1,2/1/1980,62.8
1980,2,2,2/2/1980,62.8
1980,2,3,2/3/1980,64.2
1980,2,4,2/4/1980,64.5
1980,2,5,2/5/1980,63.7
1980,2,6,2/6/1980,62.5
1980,2,7,2/7/1980,62
1980,2,8,2/8/1980,61.1
1980,2,9,2/9/1980,62.5
1980,2,10,2/10/1980,63.7
1980,2,11,2/11/1980,62.8
1980,2,12,2/12/1980,62
1980,2,13,2/13/1980,61.1
1980,2,14,2/14/1980,60.3
1980,2,15,2/15/1980,59.4
1980,2,16,2/16/1980,57.7
1980,2,17,2/17/1980,55.5
1980,2,18,2/18/1980,54.3
1980,2,19,2/19/1980,53.5
1980,2,20,2/20/1980,54.6
1980,2,21,2/21/1980,56.9
1980,2,22,2/22/1980,58.9
1980,2,23,2/23/1980,61.1
1980,2,24,2/24/1980,63.4
1980,2,25,2/25/1980,68.2
1980,2,26,2/26/1980,77.5
1980,2,27,2/27/1980,92.3
1980,2,28,2/28/1980,98.2
1980,2,29,2/29/1980,101
1980,3,1,3/1/1980,99
1980,3,2,3/2/1980,95.1
1980,3,3,3/3/1980,100
1980,3,4,3/4/1980,109
1980,3,5,3/5/1980,141.3
1980,3,6,3/6/1980,191
1980,3,7,3/7/1980,225.8
1980,3,8,3/8/1980,261.9
1980,3,9,3/9/1980,315.8
1980,3,10,3/10/1980,334.7
1980,3,11,3/11/1980,324.9
1980,3,12,3/12/1980,269.9
1980,3,13,3/13/1980,217.8
1980,3,14,3/14/1980,175
1980,3,15,3/15/1980,144.2
1980,3,16,3/16/1980,123
1980,3,17,3/17/1980,111
1980,3,18,3/18/1980,103
1980,3,19,3/19/1980,98.2
1980,3,20,3/20/1980,97.4
1980,3,21,3/21/1980,98.8
1980,3,22,3/22/1980,110
1980,3,23,3/23/1980,123
1980,3,24,3/24/1980,120
1980,3,25,3/25/1980,108
1980,3,26,3/26/1980,101
1980,3,27,3/27/1980,90.6
1980,3,28,3/28/1980,85.5
1980,3,29,3/29/1980,80.1
1980,3,30,3/30/1980,75.8
1980,3,31,3/31/1980,55.5
1980,4,1,4/1/1980,74.8
1980,4,2,4/2/1980,74.1
1980,4,3,4/3/1980,73.3
1980,4,4,4/4/1980,73.3
1980,4,5,4/5/1980,73.2
1980,4,6,4/6/1980,96.6
1980,4,7,4/7/1980,115
1980,4,8,4/8/1980,118
1980,4,9,4/9/1980,116
1980,4,10,4/10/1980,116
1980,4,11,4/11/1980,120
1980,4,12,4/12/1980,126
1980,4,13,4/13/1980,143
1980,4,14,4/14/1980,149.3
1980,4,15,4/15/1980,143
1980,4,16,4/16/1980,119
1980,4,17,4/17/1980,93.9
1980,4,18,4/18/1980,84.2
1980,4,19,4/19/1980,84.5
1980,4,20,4/20/1980,115.1
1980,4,21,4/21/1980,114.8
1980,4,22,4/22/1980,129.1
1980,4,23,4/23/1980,284.5
1980,4,24,4/24/1980,1039.3
1980,4,25,4/25/1980,1562.2
1980,4,26,4/26/1980,1526.8
1980,4,27,4/27/1980,1254.2
1980,4,28,4/28/1980,1084.9
1980,4,29,4/29/1980,1170.5
1980,4,30,4/30/1980,893.7
1980,5,1,5/1/1980,719.4
1980,5,2,5/2/1980,532.2
1980,5,3,5/3/1980,450.1
1980,5,4,5/4/1980,418.8
1980,5,5,5/5/1980,405.7
1980,5,6,5/6/1980,438.8
1980,5,7,5/7/1980,1007.9
1980,5,8,5/8/1980,1950.3
1980,5,9,5/9/1980,2297.3
1980,5,10,5/10/1980,2344.2
1980,5,11,5/11/1980,2338.9
1980,5,12,5/12/1980,2215.3
1980,5,13,5/13/1980,1983.7
1980,5,14,5/14/1980,1750.3
1980,5,15,5/15/1980,1547.6
1980,5,16,5/16/1980,1431.3
1980,5,17,5/17/1980,1708.3
1980,5,18,5/18/1980,2046.3
1980,5,19,5/19/1980,2060.9
1980,5,20,5/20/1980,1896.3
1980,5,21,5/21/1980,1673.2
1980,5,22,5/22/1980,1429.3
1980,5,23,5/23/1980,1202.8
1980,5,24,5/24/1980,1034.3
1980,5,25,5/25/1980,906
1980,5,26,5/26/1980,808.8
1980,5,27,5/27/1980,696.6
1980,5,28,5/28/1980,666.5
1980,5,29,5/29/1980,715.3
1980,5,30,5/30/1980,873.9
1980,5,31,5/31/1980,1090.1
1980,6,1,6/1/1980,1287.8
1980,6,2,6/2/1980,1581.1
1980,6,3,6/3/1980,1795.3
1980,6,4,6/4/1980,1852.3
1980,6,5,6/5/1980,2107.6
1980,6,6,6/6/1980,2349.4
1980,6,7,6/7/1980,3103.7
1980,6,8,6/8/1980,3858.2
1980,6,9,6/9/1980,3721.6
1980,6,10,6/10/1980,3402.1
1980,6,11,6/11/1980,3497.1
1980,6,12,6/12/1980,3613.3
1980,6,13,6/13/1980,3177.5
1980,6,14,6/14/1980,2891.1
1980,6,15,6/15/1980,2838.6
1980,6,16,6/16/1980,2803.9
1980,6,17,6/17/1980,2968.1
1980,6,18,6/18/1980,2870.7
1980,6,19,6/19/1980,2655.9
1980,6,20,6/20/1980,2509.6
1980,6,21,6/21/1980,2509.6
1980,6,22,6/22/1980,2547.8
1980,6,23,6/23/1980,2561.5
1980,6,24,6/24/1980,2580.8
1980,6,25,6/25/1980,2650.2
1980,6,26,6/26/1980,2876.5
1980,6,27,6/27/1980,3128.2
1980,6,28,6/28/1980,3376.9
1980,6,29,6/29/1980,3177.5
1980,6,30,6/30/1980,3122.1
1980,7,1,7/1/1980,2992
1980,7,2,7/2/1980,2818.3
1980,7,3,7/3/1980,2723.6
1980,7,4,7/4/1980,2569.8
1980,7,5,7/5/1980,2354.7
1980,7,6,7/6/1980,2110.1
1980,7,7,7/7/1980,2336.4
1980,7,8,7/8/1980,2294.7
1980,7,9,7/9/1980,2195
1980,7,10,7/10/1980,2167.3
1980,7,11,7/11/1980,2558.8
1980,7,12,7/12/1980,2641.8
1980,7,13,7/13/1980,2684
1980,7,14,7/14/1980,2700.9
1980,7,15,7/15/1980,2561.5
1980,7,16,7/16/1980,2547.8
1980,7,17,7/17/1980,2583.5
1980,7,18,7/18/1980,2536.8
1980,7,19,7/19/1980,2553.3
1980,7,20,7/20/1980,2539.6
1980,7,21,7/21/1980,2602.8
1980,7,22,7/22/1980,2641.8
1980,7,23,7/23/1980,2597.3
1980,7,24,7/24/1980,2528.6
1980,7,25,7/25/1980,2359.9
1980,7,26,7/26/1980,2388.9
1980,7,27,7/27/1980,2359.9
1980,7,28,7/28/1980,2279.2
1980,7,29,7/29/1980,2284.4
1980,7,30,7/30/1980,2539.6
1980,7,31,7/31/1980,2667.1
1980,8,1,8/1/1980,2669.9
1980,8,2,8/2/1980,2653
1980,8,3,8/3/1980,2509.6
1980,8,4,8/4/1980,2498.7
1980,8,5,8/5/1980,2550.5
1980,8,6,8/6/1980,2439.5
1980,8,7,8/7/1980,2341.5
1980,8,8,8/8/1980,2274.1
1980,8,9,8/9/1980,2455.5
1980,8,10,8/10/1980,2515
1980,8,11,8/11/1980,2695.2
1980,8,12,8/12/1980,2737.8
1980,8,13,8/13/1980,2706.6
1980,8,14,8/14/1980,2591.8
1980,8,15,8/15/1980,2482.5
1980,8,16,8/16/1980,2455.5
1980,8,17,8/17/1980,2381
1980,8,18,8/18/1980,2217.8
1980,8,19,8/19/1980,2095.2
1980,8,20,8/20/1980,2083
1980,8,21,8/21/1980,1870.8
1980,8,22,8/22/1980,1974.1
1980,8,23,8/23/1980,2017.3
1980,8,24,8/24/1980,1915
1980,8,25,8/25/1980,1739.3
1980,8,26,8/26/1980,1581.1
1980,8,27,8/27/1980,1423.3
1980,8,28,8/28/1980,1299.1
1980,8,29,8/29/1980,1221
1980,8,30,8/30/1980,1115.9
1980,8,31,8/31/1980,1421.4
1980,9,1,9/1/1980,1547.6
1980,9,2,9/2/1980,1496
1980,9,3,9/3/1980,1304.9
1980,9,4,9/4/1980,1166.9
1980,9,5,9/5/1980,1224.7
1980,9,6,9/6/1980,1197.4
1980,9,7,9/7/1980,1329.6
1980,9,8,9/8/1980,1423.3
1980,9,9,9/9/1980,1401.5
1980,9,10,9/10/1980,1640.8
1980,9,11,9/11/1980,1901
1980,9,12,9/12/1980,2169.8
1980,9,13,9/13/1980,2597.3
1980,9,14,9/14/1980,2766.5
1980,9,15,9/15/1980,2569.8
